,Country,Population
0,Afghanistan,38928341
1,Albania,2877800
2,Algeria,43851043
3,Andorra,77265
4,Angola,32866268
5,Antigua and Barbuda,97928
6,Argentina,45195777
7,Armenia,2963234
8,Australia,50919400
9,Austria,9006400
10,Azerbaijan,10139175
11,Bahamas,393248
12,Bahrain,1701583
13,Bangladesh,164689383
14,Barbados,287371
15,Belarus,9449321
16,Belgium,23021022
17,Belize,397621
18,Benin,12123198
19,Bhutan,771612
20,Bolivia,11673029
21,Bosnia and Herzegovina,3280815
22,Botswana,2351625
23,Brazil,422706534
24,Brunei,437483
25,Bulgaria,6948445
26,Burkina Faso,20903278
27,Burma,54409800
28,Burundi,11890781
29,Cabo Verde,555988
30,Cambodia,16718971
31,Cameroon,26545864
32,Canada,75750184
33,Central African Republic,4829764
34,Chad,16425859
35,Chile,36692988
36,China,2809352660
37,Colombia,99141018
38,Comoros,869595
39,Congo (Brazzaville),89561403
40,Congo (Kinshasa),5518087
41,Costa Rica,5094114
42,Cote d'Ivoire,26378274
43,Croatia,4105268
44,Cuba,11326616
45,Cyprus,1207361
46,Czechia,10708981
47,Denmark,5897840
48,Diamond Princess,0
49,Djibouti,988002
50,Dominica,71991
51,Dominican Republic,10847904
52,Ecuador,17643060
53,Egypt,102334403
54,El Salvador,6486201
55,Equatorial Guinea,1402985
56,Eritrea,3546427
57,Estonia,1326539
58,Eswatini,1160164
59,Ethiopia,114963583
60,Fiji,896444
61,Finland,5540718
62,France,68151730
63,Gabon,2225728
64,Gambia,2416664
65,Georgia,3989175
66,Germany,166803158
67,Ghana,31072945
68,Greece,10423056
69,Grenada,112519
70,Guatemala,17915567
71,Guinea,13132792
72,Guinea-Bissau,1967998
73,Guyana,786559
74,Haiti,11402533
75,Holy See,809
76,Honduras,9904608
77,Hungary,9660350
78,Iceland,341250
79,India,2751341248
80,Indonesia,273523621
81,Iran,83992953
82,Iraq,40222503
83,Ireland,4937796
84,Israel,8655541
85,Italy,120822834
86,Jamaica,2961161
87,Japan,252643406
88,Jordan,10203140
89,Kazakhstan,18776707
90,Kenya,53771300
91,Kiribati,117606
92,"Korea, South",51269183
93,Kosovo,1793000
94,Kuwait,4270563
95,Kyrgyzstan,6524191
96,Laos,7275556
97,Latvia,1886202
98,Lebanon,6825442
99,Lesotho,2142252
100,Liberia,5057677
101,Libya,6871287
102,Liechtenstein,38137
103,Lithuania,2722291
104,Luxembourg,625976
105,MS Zaandam,0
106,Madagascar,27691019
107,Malawi,19129955
108,Malaysia,32365998
109,Maldives,540542
110,Mali,20250834
111,Malta,441539
112,Marshall Islands,58413
113,Mauritania,4649660
114,Mauritius,1271767
115,Mexico,255584572
116,Micronesia,113815
117,Moldova,4033963
118,Monaco,39244
119,Mongolia,3278292
120,Montenegro,628062
121,Morocco,36910558
122,Mozambique,31255435
123,Namibia,2540916
124,Nepal,29136808
125,Netherlands,34882427
126,New Zealand,4839692
127,Nicaragua,6624554
128,Niger,24206636
129,Nigeria,399640130
130,North Macedonia,2083380
131,Norway,5421242
132,Oman,5106622
133,Pakistan,428724125
134,Palau,18001
135,Panama,4314768
136,Papua New Guinea,8947027
137,Paraguay,7132530
138,Peru,65597846
139,Philippines,109581085
140,Poland,76257753
141,Portugal,10196707
142,Qatar,2881060
143,Romania,19237682
144,Russia,292579178
145,Rwanda,12952209
146,Saint Kitts and Nevis,53109
147,Saint Lucia,183629
148,Saint Vincent and the Grenadines,110854
149,Samoa,196130
150,San Marino,33938
151,Sao Tome and Principe,219159
152,Saudi Arabia,34813867
153,Senegal,16743930
154,Serbia,8737370
155,Seychelles,98340
156,Sierra Leone,7976985
157,Singapore,5850343
158,Slovakia,5459643
159,Slovenia,2078932
160,Solomon Islands,652858
161,Somalia,15893219
162,South Africa,59308690
163,South Sudan,11193729
164,Spain,93691843
165,Sri Lanka,21413250
166,Sudan,43849269
167,Suriname,586634
168,Sweden,20426859
169,Switzerland,8654618
170,Syria,17500657
171,Taiwan*,23806638
172,Tajikistan,9537642
173,Tanzania,59734213
174,Thailand,69799978
175,Timor-Leste,1318442
176,Togo,8278737
177,Trinidad and Tobago,1399491
178,Tunisia,11818618
179,Turkey,84339067
180,US,330541757
181,Uganda,45741000
182,Ukraine,89634808
183,United Arab Emirates,9890400
184,United Kingdom,134862019
185,Uruguay,3473727
186,Uzbekistan,33469199
187,Vanuatu,292680
188,Venezuela,28435943
189,Vietnam,97338583
190,West Bank and Gaza,4543126
191,Yemen,29825968
192,Zambia,18383956
193,Zimbabwe,14862927
